DealerNumber,LegancyDealerNumber,DealerFullName,DealerShortName,DiscountCode,PricingTypeCode,ProductFrom,TypeofServiceFrom,ReplacementProductType,SecondReplacementMethod,ReplacementPaymentMethodCode,InterestChargedCode,DateOfRecordEntry,DateOfLastMaintained,LastChangedEmployeeNumber,RecordActivityStatusFlag,CancellationProcessiongCode,AuditCreateDate,AuditType
40230,40230 A,GORDY'S APPLIANCE,GORDY',,1,2,2,1,0,1,,920527,941219,0,I,2,10:44.0,I
53025,53025 A,CONSUMERS DISTRIBUTORS,CONSUM,,1,1,1,2,0,2,,920527,941219,0,I,2,10:44.0,I
53056,53056 A,WAREHOUSE CLUB,WAREHO,,1,2,2,1,2,1,,920527,950118,0,I,1,10:44.0,I
53036,53036 A,STAPLES,TAPLE,,1,1,2,2,0,1,,920713,1000306,0,A,2,10:44.0,I
53036,9087  F,STAPLES,TAPLE,,1,1,2,2,0,1,,920713,1000306,0,A,2,10:44.0,I
53038,53038 A,"JC PENNEY CO., INC.",JC PEN,,1,1,1,1,0,1,,920716,1081103,0,A,2,10:44.0,I
53038,90S979A,"JC PENNEY CO., INC.",JC PEN,,1,1,1,1,0,1,,920716,1081103,0,A,2,10:44.0,I
9079,9079  A,L. LURIA & SON INC.,L. LUR,,1,1,1,3,0,2,,920717,950927,0,I,2,10:44.0,I
53053,53053 A,WITMARK,WITMAR,,1,1,2,2,0,1,,920721,970203,0,I,1,10:44.0,I
53041,53041 A,B.J.'S WHOLESALE CLUB,BJ'S,,1,2,3,3,0,1,,920722,1100309,0,I,2,10:44.0,I
53041,53041FU,B.J.'S WHOLESALE CLUB,BJ'S,,1,2,3,3,0,1,,920722,1100309,0,I,2,10:44.0,I
53041,53041FV,B.J.'S WHOLESALE CLUB,BJ'S,,1,2,3,3,0,1,,920722,1100309,0,I,2,10:44.0,I
53041,53041GC,B.J.'S WHOLESALE CLUB,BJ'S,,1,2,3,3,0,1,,920722,1100309,0,I,2,10:44.0,I
5601,5601  A,CONSUMERS CANADA,CONSUM,,1,1,1,3,3,1,,920722,971114,0,I,1,10:44.0,I
53047,53047 A,ALLIED OFFICE SUPPLIES,ALLIED,,1,2,2,1,0,1,,920724,1010622,0,I,1,10:44.0,I
53018,53018 A,SERVICE MERCHANDISE,SRV,,1,1,2,1,5,2,,920726,950802,0,I,2,10:44.0,I
53040,53040 A,OFFICE DEPOT,OFFICE,.,1,1,3,2,0,1,,920928,960807,0,I,2,10:44.0,I
53032,53032 A,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A2,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A3,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A4,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A5,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A6,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A7,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A8,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032A9,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B1,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B2,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B3,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B4,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B5,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B6,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032B7,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
